No.,Name,Nationality,Birth date,Batting style,Bowling style,Signed year,Salary,Notes,Team,Specialization
95,Harpreet Brar,India,16 September 1995 (age 28),Left-handed,Slow left-arm orthodox,2022,"₹3.8 crore (US$480,000)",,PBKS,Spin bowler
83,Rahul Chahar,India,4 August 1999 (age 24),Right-handed,Right-arm leg break,2022,"₹5.25 crore (US$660,000)",,PBKS,Spin bowler
5,Riyan Parag,India,10 November 2001 (age 22),Right-handed,Right-arm leg break,2019,"₹3.8 crore (US$480,000)",,RR,Batter
19,Yashasvi Jaiswal,India,28 December 2001 (age 21),Left-handed,Right-arm leg break,2022,"₹4 crore (US$500,000)",,RR,Batter
21,Dhruv Jurel,India,21 January 2001 (age 22),Right-handed,–,2022,"₹20 lakh (US$25,000)",Back-up wicket-keeper,RR,Batter
63,Jos Buttler,England,8 September 1990 (age 33),Right-handed,–,2018,₹10 crore (US$1.3 million),"Overseas, wicket-keeper",RR,Batter
189,Shimron Hetmyer,West Indies,26 December 1996 (age 26),Left-handed,–,2022,₹8.5 crore (US$1.1 million),Overseas,RR,Batter
11,Sanju Samson,India,11 November 1994 (age 29),Right-handed,Right-arm off-spin,2018,₹16 crore (US$2.0 million),Captain,RR,Wicket-keeper
—,Donavon Ferreira,South Africa,21 July 1998 (age 25),Right-handed,–,2023,"₹50 lakh (US$63,000)",Overseas,RR,Wicket-keeper
—,Kunal Singh Rathore,India,9 October 2002 (age 21),Left-handed,–,2023,"₹20 lakh (US$25,000)",,RR,Wicket-keeper
99,Ravichandran Ashwin,India,17 September 1986 (age 37),Right-handed,Right-arm off break,2022,"₹5 crore (US$630,000)",,RR,All-rounder
18,Trent Boult,New Zealand,22 July 1989 (age 34),Right-handed,Left-arm fast-medium,2022,₹8 crore (US$1.0 million),Overseas,RR,Pace bowler
20,Sandeep Sharma,India,18 May 1993 (age 30),Right-handed,Right-arm medium,2023,–,Replacement for Prasidh Krishna,RR,Pace bowler
22,Kuldeep Sen,India,22 October 1996 (age 27),Right-handed,Right-arm fast,2022,"₹20 lakh (US$25,000)",,RR,Pace bowler
24,Prasidh Krishna,India,19 February 1996 (age 27),Right-handed,Right-arm fast-medium,2022,₹10 crore (US$1.3 million),,RR,Pace bowler
65,Avesh Khan,India,13 December 1996 (age 26),Right-handed,Right-arm fast-medium,2023,₹10 crore (US$1.3 million),Traded from Lucknow Super Giants in exchange for Devdutt Padikkal,RR,Pace bowler
96,Navdeep Saini,India,23 November 1992 (age 31),Right-handed,Right-arm fast,2022,"₹2.6 crore (US$330,000)",,RR,Pace bowler
3,Yuzvendra Chahal,India,23 July 1990 (age 33),Right-handed,Right-arm leg break,2022,"₹6.5 crore (US$810,000)",,RR,Spin bowler
88,Adam Zampa,Australia,31 March 1992 (age 31),Right-handed,Right-arm leg break,2023,"₹1.5 crore (US$190,000)",Overseas,RR,Spin bowler
16,Mayank Agarwal,India,16 February 1991 (age 32),Right-handed,Right-arm off break,2023,₹8.25 crore (US$1.0 million),,SRH,Batter
52,Rahul Tripathi,India,2 March 1991 (age 32),Right-handed,Right-arm medium,2022,₹8.5 crore (US$1.1 million),,SRH,Batter
94,Aiden Markram,South Africa,4 October 1994 (age 29),Right-handed,Right-arm off break,2022,"₹2.6 crore (US$330,000)",Overseas; Captain,SRH,Batter
4,Abhishek Sharma,India,4 September 2000 (age 23),Left-handed,Left-arm orthodox,2019,"₹6.5 crore (US$810,000)",,SRH,Batter
14,Samarth Vyas,India,28 November 1995 (age 28),Right-handed,Right-arm leg break,2023,"₹20 lakh (US$25,000)",,SRH,Batter
1,Abdul Samad,India,28 October 2001 (age 22),Right-handed,Right-arm leg break,2020,"₹4 crore (US$500,000)",,SRH,Batter
63,Anmolpreet Singh,India,28 March 1998 (age 25),Right-handed,Right-arm off-break,2023,"₹20 lakh (US$25,000)",,SRH,Batter
,Vivrant Sharma,India,30 October 1999 (age 24),Left-handed,Right-arm Leg spin,2023,"₹2.6 crore (US$330,000)",,SRH,Batter
6,Glenn Phillips,New Zealand,6 December 1996 (age 27),Right-handed,Right-arm off break,2022,"₹1.5 crore (US$190,000)",Overseas,SRH,Wicket-keeper
45,Heinrich Klaasen,South Africa,30 July 1991 (age 32),Right-handed,Right-arm off spin,2023,"₹5.25 crore (US$660,000)",Overseas,SRH,Wicket-keeper
,Upendra Yadav,India,8 October 1996 (age 27),Right-handed,Right-arm off spin,2023,"₹25 lakh (US$31,000)",,SRH,Wicket-keeper
,Sanvir Singh,India,12 October 1996 (age 27),Right-handed,Right-arm medium,2023,"₹20 lakh (US$25,000)",,SRH,All-rounder
8,Nitish Kumar Reddy,India,26 May 2003 (age 20),Right-handed,Right-arm medium-fast,2023,"₹20 lakh (US$25,000)",,SRH,All-rounder
15,Bhuvneshwar Kumar,India,5 February 1990 (age 33),Right-handed,Right arm medium-fast,2014,"₹4.2 crore (US$530,000)",Vice-captain,SRH,Pace bowler
44,T. Natarajan,India,4 April 1991 (age 32),Left-handed,Left arm medium-fast,2018,"₹4 crore (US$500,000)",,SRH,Pace bowler
24,Umran Malik,India,22 November 1999 (age 24),Right-handed,Right arm fast,2021,"₹4 crore (US$500,000)",,SRH,Pace bowler
70,Marco Jansen,South Africa,1 May 2000 (age 23),Right-handed,Left-arm fast,2022,"₹4.2 crore (US$530,000)",Overseas,SRH,Pace bowler
83,Fazalhaq Farooqi,Afghanistan,22 September 2000 (age 23),Right-handed,Left-arm medium-fast,2022,"₹50 lakh (US$63,000)",Overseas,SRH,Pace bowler
9,Kartik Tyagi,India,8 November 2000 (age 23),Right-handed,Right arm fast,2022,"₹4 crore (US$500,000)",,SRH,Pace bowler
11,Mayank Markande,India,11 November 1997 (age 26),Right-handed,Right-arm leg break,2023,"₹50 lakh (US$63,000)",,SRH,Spin bowler
5,Washington Sundar,India,5 October 1999 (age 24),Left-handed,Right-arm off break,2022,₹8.75 crore (US$1.1 million),,SRH,Spin bowler
,Mayank Dagar,India,11 November 1996 (age 27),Right-handed,Left-arm orthodox,2023,"₹1.80 crore (US$230,000)",,SRH,Spin bowler
95,Adil Rashid,England,17 February 1988 (age 35),Right-handed,Right-arm leg break,2023,"₹2 crore (US$250,000)",Overseas,SRH,Spin bowler
,Akeal Hosein,West Indies,25 April 1993 (age 30),Left-handed,Left-arm orthodox,2023,"₹1 crore (US$130,000)",Overseas,SRH,Spin bowler
13,Faf du Plessis,South Africa,13 July 1984 (age 39),Right-handed,Right-arm leg-break,2022,"₹7 crore (US$880,000)",Overseas; Captain,RCB,Batter
18,Virat Kohli,India,5 November 1988 (age 35),Right-handed,Right-arm medium,2008,₹15 crore (US$1.9 million),,RCB,Batter
97,Rajat Patidar,India,1 June 1993 (age 30),Right-handed,Right-arm off-break,2022,"₹20 lakh (US$25,000)",,RCB,Batter
,Will Jacks,England,21 November 1998 (age 25),Right-handed,Right-arm off-break,2023,"₹3.2 crore (US$400,000)",Overseas,RCB,Batter
19,Dinesh Karthik,India,1 June 1985 (age 38),Right-handed,Right-arm off-break,2022,"₹5.5 crore (US$690,000)",,RCB,Wicket-keeper
27,Anuj Rawat,India,17 October 1999 (age 24),Left-handed,,2022,"₹3.4 crore (US$430,000)",,RCB,Wicket-keeper
6,Mahipal Lomror,India,16 November 1999 (age 24),Left-handed,Left-arm orthodox,2022,"₹95 lakh (US$120,000)",,RCB,All-rounder
32,Glenn Maxwell,Australia,14 October 1988 (age 35),Right-handed,Right-arm off-break,2021,₹11 crore (US$1.4 million),Overseas,RCB,All-rounder
43,Suyash Prabhudessai,India,6 December 1997 (age 26),Right-handed,Right-arm medium,2021,"₹30 lakh (US$38,000)",,RCB,All-rounder
,Manoj Bhandage,India,5 October 1998 (age 25),Left-handed,Right-arm medium-fast,2023,"₹20 lakh (US$25,000)",,RCB,All-rounder
,Cameron Green,Australia,3 June 1999 (age 24),Right-handed,Right-arm fast-medium,2024,₹17.5 crore (US$2.2 million),Overseas,RCB,All-rounder
,Mayank Dagar,India,11 November 1996 (age 27),Left-handed,Left-arm orthodox,2024,"₹1.8 crore (US$230,000)",,RCB,All-rounder
8,Reece Topley,England,21 February 1994 (age 29),Right-handed,Left-arm fast-medium,2023,"₹1.9 crore (US$240,000)",Overseas,RCB,Pace bowler
11,Akash Deep,India,15 December 1996 (age 26),Right-handed,Right-arm fast-medium,2021,"₹20 lakh (US$25,000)",,RCB,Pace bowler
31,Vijaykumar Vyshak,India,21 January 1997 (age 26),Right-handed,Right-arm medium,2023,"₹20 lakh (US$25,000)",,RCB,Pace bowler
73,Mohammed Siraj,India,13 March 1994 (age 29),Right-handed,Right-arm fast-medium,2018,"₹7 crore (US$880,000)",,RCB,Pace bowler
,Rajan Kumar,India,8 July 1996 (age 27),Left-handed,Left-arm fast-medium,2023,"₹20 lakh (US$25,000)",,RCB,Pace bowler
33,Karn Sharma,India,23 September 1987 (age 36),Left-handed,Right-arm leg-break,2022,"₹50 lakh (US$63,000)",,RCB,Spin bowler
44,Himanshu Sharma,India,6 June 1998 (age 25),Right-handed,Right-arm leg-break,2023,"₹20 lakh (US$25,000)",,RCB,Spin bowler
21,Ajinkya Rahane,India,6 June 1988 (age 35),Right-handed,Right-arm off spin,2023,"₹50 lakh (US$63,000)",,CSK,Batter
31,Ruturaj Gaikwad,India,31 January 1997 (age 26),Right-handed,Right-arm off break,2019,"₹6 crore (US$750,000)",,CSK,Batter
66,Shaik Rasheed,India,24 September 2004 (age 19),Right-handed,Right-arm Leg spin,2023,"₹20 lakh (US$25,000)",,CSK,Batter
88,Devon Conway,New Zealand,8 July 1991 (age 32),Left-handed,Right-arm medium,2022,"₹1 crore (US$130,000)",Overseas,CSK,Batter
7,MS Dhoni,India,7 July 1981 (age 42),Right-handed,Right-arm medium,2018,₹12 crore (US$1.5 million),Captain,CSK,Wicket-keeper
8,Ravindra Jadeja,India,6 December 1988 (age 35),Left-handed,Left-arm slow orthodox,2018,₹16 crore (US$2.0 million),,CSK,All-rounder
10,Rajvardhan Hangargekar,India,10 November 2002 (age 21),Right-handed,Right-arm fast-medium,2022,"₹1.5 crore (US$190,000)",,CSK,All-rounder
18,Moeen Ali,England,18 June 1987 (age 36),Left-handed,Right-arm off break,2021,₹8 crore (US$1.0 million),Overseas,CSK,All-rounder
19,Ajay Mandal,India,25 February 1996 (age 27),Left-handed,Left-arm slow orthodox,2023,"₹20 lakh (US$25,000)",,CSK,All-rounder
25,Shivam Dube,India,26 June 1993 (age 30),Left-handed,Right-arm medium,2022,"₹4 crore (US$500,000)",,CSK,All-rounder
27,Nishant Sindhu,India,9 April 2004 (age 19),Left-handed,Left-arm slow orthodox,2023,"₹60 lakh (US$75,000)",,CSK,All-rounder
74,Mitchell Santner,New Zealand,5 February 1992 (age 31),Left-handed,Left-arm slow orthodox,2018,"₹1.9 crore (US$240,000)",Overseas,CSK,All-rounder
46,Prashant Solanki,India,22 February 2000 (age 23),Right-handed,Right-arm leg spin,2022,"₹1.2 crore (US$150,000)",,CSK,Spin bowler
61,Maheesh Theekshana,Sri Lanka,1 August 2000 (age 23),Right-handed,Right-arm off break,2022,"₹70 lakh (US$88,000)",Overseas,CSK,Spin bowler
24,Tushar Deshpande,India,15 May 1995 (age 28),Left-handed,Right-arm medium,2022,"₹20 lakh (US$25,000)",,CSK,Pace bowler
33,Mukesh Choudhary,India,6 July 1996 (age 27),Left-handed,Left-arm medium-fast,2022,"₹20 lakh (US$25,000)",,CSK,Pace bowler
90,Deepak Chahar,India,7 August 1992 (age 31),Right-handed,Right-arm medium-fast,2018,₹14 crore (US$1.8 million),,CSK,Pace bowler
98,Simarjeet Singh,India,17 January 1998 (age 25),Right-handed,Right-arm medium-fast,2022,"₹20 lakh (US$25,000)",,CSK,Pace bowler
99,Matheesha Pathirana,Sri Lanka,18 December 2002 (age 20),Right-handed,Right-arm fast,2022,"₹20 lakh (US$25,000)",Overseas,CSK,Pace bowler
